city,state,house_type,month,avg_temp_f,humidity,heating_degree_days,cooling_degree_days,avg_energy_kwh,square_feet,num_occupants,energy_rate_per_kwh,monthly_energy_bill
Los Angeles,CA,Apartment,12,44.2,74.2,623.0,0.0,25089.7,781,1,0.242,6087.4
Los Angeles,CA,Large House,7,70.9,44.0,0.0,178.1,36602.6,3065,1,0.264,9665.53
Denver,CO,House,4,61.1,30.4,117.2,0.0,21390.3,2419,3,0.12,2574.76
Miami,FL,Townhouse,3,66.0,52.8,0.0,30.7,3665.0,1420,2,0.11,396.91
Phoenix,AZ,Apartment,12,68.7,52.7,0.0,111.9,5229.5,970,1,0.143,760.99
Atlanta,GA,Townhouse,10,57.5,43.7,226.3,0.0,20369.0,1396,1,0.13,2631.16
Houston,TX,Apartment,7,93.4,51.9,0.0,850.7,27379.4,784,1,0.144,3931.01
Phoenix,AZ,Apartment,10,80.3,44.7,0.0,460.2,22183.6,1150,1,0.13,2874.66
Denver,CO,Condo,11,51.3,31.9,411.3,0.0,26675.9,1132,1,0.12,3191.82
Houston,TX,Large House,12,65.6,53.7,0.0,16.6,8392.0,3644,2,0.132,1106.1
Phoenix,AZ,Condo,4,76.4,74.8,0.0,341.7,25174.1,1562,3,0.13,3275.98
Miami,FL,Condo,3,65.9,32.8,0.0,27.3,2889.6,1321,2,0.11,322.96
Seattle,WA,Large House,2,49.0,58.1,481.2,0.0,141814.3,3788,4,0.11,15601.7
New York,NY,Apartment,11,47.7,50.4,519.4,0.0,28241.5,1049,2,0.18,5069.8
New York,NY,Townhouse,9,69.1,36.4,0.0,122.3,13669.7,1980,1,0.18,2474.21
Denver,CO,Large House,4,60.6,62.4,131.2,0.0,37092.9,3313,3,0.12,4452.36
New York,NY,Large House,6,70.1,51.8,0.0,153.6,41901.5,4000,1,0.216,9063.0
Houston,TX,Apartment,4,71.9,59.2,0.0,205.7,9763.9,1080,1,0.12,1182.09
Chicago,IL,Condo,11,42.7,82.3,670.5,0.0,48649.6,1286,1,0.14,6799.41
Denver,CO,Condo,12,52.0,69.0,391.5,0.0,25284.4,1119,2,0.132,3338.25
Los Angeles,CA,Condo,4,53.2,63.2,353.7,0.0,17715.7,865,1,0.22,3877.74
New York,NY,Condo,2,27.7,44.3,1118.7,0.0,52069.6,832,1,0.198,10298.36
Chicago,IL,Large House,10,59.8,78.4,154.6,0.0,51012.9,3968,2,0.14,7125.68
Seattle,WA,Townhouse,7,78.6,33.3,0.0,409.2,33641.5,1620,2,0.12,4042.82
New York,NY,House,12,30.5,41.4,1035.4,0.0,150060.3,2194,1,0.198,29708.82
Phoenix,AZ,House,4,75.4,81.7,0.0,312.9,57099.3,3290,1,0.13,7404.93
Denver,CO,Apartment,2,47.1,58.9,538.1,0.0,20729.1,742,1,0.132,2752.34
Chicago,IL,House,1,32.3,77.1,982.0,0.0,149489.8,2299,3,0.154,23029.3
Denver,CO,House,3,49.2,33.5,474.7,0.0,60524.6,1888,2,0.12,7245.39
Miami,FL,Apartment,1,62.0,81.2,89.1,0.0,5903.9,1098,2,0.121,732.81
Los Angeles,CA,Condo,2,49.8,44.1,457.4,0.0,36722.9,1409,1,0.242,8902.56
Houston,TX,Large House,10,75.8,69.4,0.0,324.6,64464.9,3081,5,0.12,7728.44
Phoenix,AZ,Condo,11,68.4,53.7,0.0,101.6,8456.9,1533,2,0.13,1091.4
Miami,FL,Apartment,1,57.7,42.8,218.0,0.0,11391.4,969,1,0.121,1395.69
